SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
V10,151601,Eco Mastercard,REFERENCE.CORE.PRODUCT,CCAUECO,Eco Mastercard
V10,1611,GO Platinum Mastercard,REFERENCE.CORE.PRODUCT,CCAUGOM,GO Platinum Mastercard
V10,1612,GO Platinum Mastercard,REFERENCE.CORE.PRODUCT,CCAUGOM,GO Platinum Mastercard
V10,1624,Go Business Mastercard,REFERENCE.CORE.PRODUCT,GOBUSMC,Go Business Mastercard
V10,2166,Buyer’s Edge,REFERENCE.CORE.PRODUCT,CCAUBE,Buyer’s Edge
V10,226201,Credit Line,REFERENCE.CORE.PRODUCT,CCAUCLN,Credit Line
V10,227201,Credit Line,REFERENCE.CORE.PRODUCT,CCAUCLN,Credit Line
V10,228201,Credit Line,REFERENCE.CORE.PRODUCT,CCAUCLN,Credit Line
V10,3001,David Jones Icon Credit Card,REFERENCE.CORE.PRODUCT,CCAUDJI,David Jones Icon Credit Card
V10,3002,David Jones Premiere Credit Card,REFERENCE.CORE.PRODUCT,CCAUDJM,David Jones Premiere Credit Card
V10,3003,David Jones Prestige Credit Card,REFERENCE.CORE.PRODUCT,CCAUDJG,David Jones Prestige Credit Card
V10,3015,Latitude Financial Services,REFERENCE.CORE.PRODUCT,MYERB,Latitude Financial Services
V10,4001,Latitude Infinity Rewards Visa,REFERENCE.CORE.PRODUCT,CCAUINF,Latitude Infinity Rewards Visa
V10,400101,Latitude Infinity Rewards Platinum,REFERENCE.CORE.PRODUCT,CCAUING,Latitude Infinity Rewards Platinum
V10,4501,Latitude Gem Visa,REFERENCE.CORE.PRODUCT,CCAUGEM,Latitude Gem Visa
V10,5001,Gem Essential,REFERENCE.CORE.PRODUCT,CCNZOCV,Gem Essential
V10,526501,Gem CreditLine,REFERENCE.CORE.PRODUCT,CCNZCLN,Gem CreditLine
V10,527501,Gem CreditLine,REFERENCE.CORE.PRODUCT,CCNZCLN,Gem CreditLine
V10,5501,Gem Visa,REFERENCE.CORE.PRODUCT,CCNZGEM,Gem Visa
V10,9981,MYER VISA CARD,REFERENCE.CORE.PRODUCT,DQMapping,Source value cannot be mapped
