SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
VN,LSCCLS,Credit Limit Split via LSC,REFERENCE.CORE.CARD_CHANNEL,LSCCLS,Credit Limit Split via LSC
VN,BLKTFR,Bulk Account Transfer,REFERENCE.CORE.CARD_CHANNEL,BLKTFR,Bulk Account Transfer
VN,MIGRAT,Account Migration,REFERENCE.CORE.CARD_CHANNEL,MIGRAT,Account Migration
VN,QROAPP,Online Application via QR Code,REFERENCE.CORE.CARD_CHANNEL,QROAPP,Online Application via QR Code
VN,SMSAPP,Application via SMS Link,REFERENCE.CORE.CARD_CHANNEL,SMSAPP,Application via SMS Link
VN,AFFAPP,Partner Affiliates Application,REFERENCE.CORE.CARD_CHANNEL,AFFAPP,Partner Affiliates Application
VN,MOBACH,Additional Cardholder via Mobile App,REFERENCE.CORE.CARD_CHANNEL,MOBACH,Additional Cardholder via Mobile App
VN,MOBCLI,Credit Limit Increase via Mobile App,REFERENCE.CORE.CARD_CHANNEL,MOBCLI,Credit Limit Increase via Mobile App
VN,MOBCLS,Credit Limit Split via Mobile App,REFERENCE.CORE.CARD_CHANNEL,MOBCLS,Credit Limit Split via Mobile App
VN,DQMapping,Source value cannot be mapped,REFERENCE.CORE.CARD_CHANNEL,DQMapping,Source value cannot be mapped
VN,DQMissing,Source value not provided,REFERENCE.CORE.CARD_CHANNEL,DQMissing,Source value not provided
VN,DQNotApplicable,Source value not required,REFERENCE.CORE.CARD_CHANNEL,DQNotApplicable,Source value not required
